"location","gender","age_arange","age_total"
성동구,여,from55to59,368
성동구,여,from60to64,130
성동구,여,from65to69,26
성동구,여,from70to74,7
성동구,여,from75to79,4
성동구,여,upto80,12
성북구,남,from0to4,119
성북구,남,from5to9,70
성북구,남,from10to14,44
성북구,남,from15to19,441
성북구,남,from20to24,1479
성북구,남,from25to29,747
성북구,남,from30to34,499
성북구,남,from35to39,301
성북구,남,from40to44,190
성북구,남,from45to49,201
성북구,남,from50to54,176
성북구,남,from55to59,139
성북구,남,from60to64,78
성북구,남,from65to69,32
성북구,남,from70to74,16
성북구,남,from75to79,8
성북구,남,upto80,7
성북구,여,from0to4,117
성북구,여,from5to9,49
성북구,여,from10to14,37
성북구,여,from15to19,791
성북구,여,from20to24,2813
성북구,여,from25to29,1047
성북구,여,from30to34,548
성북구,여,from35to39,336
성북구,여,from40to44,243
성북구,여,from45to49,243
성북구,여,from50to54,249
성북구,여,from55to59,176
성북구,여,from60to64,89
성북구,여,from65to69,29
성북구,여,from70to74,16
성북구,여,from75to79,10
성북구,여,upto80,12
송파구,남,from0to4,128
송파구,남,from5to9,66
송파구,남,from10to14,30
송파구,남,from15to19,61
송파구,남,from20to24,145
송파구,남,from25to29,379
송파구,남,from30to34,480
송파구,남,from35to39,389
송파구,남,from40to44,264
송파구,남,from45to49,371
송파구,남,from50to54,429
송파구,남,from55to59,325
송파구,남,from60to64,123
송파구,남,from65to69,45
송파구,남,from70to74,14
송파구,남,from75to79,9
송파구,남,upto80,2
송파구,여,from0to4,105
송파구,여,from5to9,86
송파구,여,from10to14,27
송파구,여,from15to19,56
송파구,여,from20to24,194
송파구,여,from25to29,401
송파구,여,from30to34,464
송파구,여,from35to39,303
송파구,여,from40to44,270
송파구,여,from45to49,411
송파구,여,from50to54,467
송파구,여,from55to59,406
송파구,여,from60to64,157
송파구,여,from65to69,38
송파구,여,from70to74,14
송파구,여,from75to79,10
송파구,여,upto80,8
양천구,남,from0to4,56
양천구,남,from5to9,40
양천구,남,from10to14,28
양천구,남,from15to19,20
양천구,남,from20to24,62
양천구,남,from25to29,161
양천구,남,from30to34,219
양천구,남,from35to39,223
양천구,남,from40to44,171
양천구,남,from45to49,208
양천구,남,from50to54,235
양천구,남,from55to59,207
양천구,남,from60to64,75
양천구,남,from65to69,34
양천구,남,from70to74,12
양천구,남,from75to79,5
양천구,남,upto80,5
양천구,여,from0to4,54
양천구,여,from5to9,46
양천구,여,from10to14,17
양천구,여,from15to19,25
양천구,여,from20to24,119
양천구,여,from25to29,252
양천구,여,from30to34,285
양천구,여,from35to39,217
양천구,여,from40to44,204
양천구,여,from45to49,239
양천구,여,from50to54,300
양천구,여,from55to59,199
양천구,여,from60to64,104
양천구,여,from65to69,28
양천구,여,from70to74,4
양천구,여,from75to79,3
양천구,여,upto80,7
영등포구,남,from0to4,703
영등포구,남,from5to9,425
영등포구,남,from10to14,225
영등포구,남,from15to19,158
영등포구,남,from20to24,221
영등포구,남,from25to29,1366
영등포구,남,from30to34,2094
영등포구,남,from35to39,1735
영등포구,남,from40to44,1811
영등포구,남,from45to49,2537
영등포구,남,from50to54,3173
영등포구,남,from55to59,2611
영등포구,남,from60to64,1010
영등포구,남,from65to69,238
영등포구,남,from70to74,56
영등포구,남,from75to79,38
영등포구,남,upto80,24
영등포구,여,from0to4,671
영등포구,여,from5to9,418
영등포구,여,from10to14,202
영등포구,여,from15to19,130
영등포구,여,from20to24,343
영등포구,여,from25to29,1101
영등포구,여,from30to34,1436
영등포구,여,from35to39,1139
영등포구,여,from40to44,1052
영등포구,여,from45to49,2078
영등포구,여,from50to54,2805
영등포구,여,from55to59,2503
영등포구,여,from60to64,845
영등포구,여,from65to69,196
영등포구,여,from70to74,46
영등포구,여,from75to79,39
영등포구,여,upto80,45
용산구,남,from0to4,356
용산구,남,from5to9,411
용산구,남,from10to14,303
용산구,남,from15to19,257
용산구,남,from20to24,497
용산구,남,from25to29,921
용산구,남,from30to34,1238
용산구,남,from35to39,1172
용산구,남,from40to44,974
용산구,남,from45to49,839
용산구,남,from50to54,617
용산구,남,from55to59,465
용산구,남,from60to64,251
용산구,남,from65to69,134
용산구,남,from70to74,59
용산구,남,from75to79,31
용산구,남,upto80,20
용산구,여,from0to4,351
용산구,여,from5to9,386
용산구,여,from10to14,259
용산구,여,from15to19,250
용산구,여,from20to24,548
용산구,여,from25to29,758
용산구,여,from30to34,852
용산구,여,from35to39,840
용산구,여,from40to44,673
용산구,여,from45to49,590
용산구,여,from50to54,493
용산구,여,from55to59,363
용산구,여,from60to64,225
용산구,여,from65to69,81
용산구,여,from70to74,36
용산구,여,from75to79,18
용산구,여,upto80,15
은평구,남,from0to4,53
은평구,남,from5to9,47
은평구,남,from10to14,37
은평구,남,from15to19,96
은평구,남,from20to24,128
은평구,남,from25to29,206
은평구,남,from30to34,237
은평구,남,from35to39,207
은평구,남,from40to44,173
은평구,남,from45to49,182
은평구,남,from50to54,173
은평구,남,from55to59,168
은평구,남,from60to64,85
은평구,남,from65to69,34
은평구,남,from70to74,24
은평구,남,from75to79,13
은평구,남,upto80,7
은평구,여,from0to4,63
은평구,여,from5to9,29
은평구,여,from10to14,35
은평구,여,from15to19,109
은평구,여,from20to24,217
은평구,여,from25to29,368
은평구,여,from30to34,351
은평구,여,from35to39,289
은평구,여,from40to44,194
은평구,여,from45to49,234
은평구,여,from50to54,243
은평구,여,from55to59,208
은평구,여,from60to64,117
은평구,여,from65to69,45
은평구,여,from70to74,14
은평구,여,from75to79,13
은평구,여,upto80,9
종로구,남,from0to4,79
종로구,남,from5to9,71
종로구,남,from10to14,54
종로구,남,from15to19,325
종로구,남,from20to24,959
종로구,남,from25to29,510
종로구,남,from30to34,427
종로구,남,from35to39,370
종로구,남,from40to44,293
종로구,남,from45to49,295
종로구,남,from50to54,285
종로구,남,from55to59,254
종로구,남,from60to64,120
종로구,남,from65to69,50
종로구,남,from70to74,19
종로구,남,from75to79,6
종로구,남,upto80,10
종로구,여,from0to4,87
종로구,여,from5to9,69
종로구,여,from10to14,42
종로구,여,from15to19,528
종로구,여,from20to24,1946
종로구,여,from25to29,697
종로구,여,from30to34,397
종로구,여,from35to39,290
종로구,여,from40to44,232
종로구,여,from45to49,280
종로구,여,from50to54,298
종로구,여,from55to59,312
종로구,여,from60to64,115
종로구,여,from65to69,44
종로구,여,from70to74,5
종로구,여,from75to79,8
종로구,여,upto80,10
중구,남,from0to4,162
중구,남,from5to9,113
중구,남,from10to14,87
중구,남,from15to19,169
중구,남,from20to24,476
중구,남,from25to29,516
중구,남,from30to34,493
중구,남,from35to39,414
중구,남,from40to44,316
중구,남,from45to49,345
중구,남,from50to54,369
중구,남,from55to59,335
중구,남,from60to64,163
중구,남,from65to69,62
중구,남,from70to74,32
중구,남,from75to79,17
중구,남,upto80,15
중구,여,from0to4,125
중구,여,from5to9,101
중구,여,from10to14,78
중구,여,from15to19,310
중구,여,from20to24,970
중구,여,from25to29,662
중구,여,from30to34,456
중구,여,from35to39,304
중구,여,from40to44,297
중구,여,from45to49,356
중구,여,from50to54,445
중구,여,from55to59,419
중구,여,from60to64,167
중구,여,from65to69,52
중구,여,from70to74,15
중구,여,from75to79,21
중구,여,upto80,22
중랑구,남,from0to4,98
중랑구,남,from5to9,66
중랑구,남,from10to14,24
중랑구,남,from15to19,47
중랑구,남,from20to24,123
중랑구,남,from25to29,242
중랑구,남,from30to34,233
중랑구,남,from35to39,166
중랑구,남,from40to44,128
중랑구,남,from45to49,201
중랑구,남,from50to54,197
중랑구,남,from55to59,168
중랑구,남,from60to64,71
중랑구,남,from65to69,23
중랑구,남,from70to74,7
중랑구,남,from75to79,1
중랑구,남,upto80,5
