"location","gender","visa_type","visa_total"
동대문구,여,종교(D-6),"11"
동대문구,여,주재(D-7),"4"
동대문구,여,기업투자(D-8),"11"
동대문구,여,무역경영(D-9),"4"
동대문구,여,교수(E-1),"28"
동대문구,여,선원취업(E-10),"0"
동대문구,여,회화(E-2),"70"
동대문구,여,연구(E-3),"10"
동대문구,여,기술지도(E-4),"0"
동대문구,여,전문직업(E-5),"0"
동대문구,여,예술흥행(E-6),"10"
동대문구,여,특정활동(E-7),"89"
동대문구,여,비전문취업(E-9),"56"
동대문구,여,방문동거(F-1),"301"
동대문구,여,거주(F-2),"282"
동대문구,여,동반(F-3),"199"
동대문구,여,영주(F-5),"767"
동대문구,여,결혼이민(F-6),"636"
동대문구,여,기타(G-1),"46"
동대문구,여,관광취업(H-1),"87"
동대문구,여,방문취업(H-2),"698"
동대문구,여,기타,"5"
동작구,남,문화예술(D-1),"0"
동작구,남,구직(D-10),"49"
동작구,남,유학(D-2),"1065"
동작구,남,기술연수(D-3),"0"
동작구,남,일반연수(D-4),"390"
동작구,남,취재(D-5),"0"
동작구,남,종교(D-6),"6"
동작구,남,주재(D-7),"2"
동작구,남,기업투자(D-8),"9"
동작구,남,무역경영(D-9),"0"
동작구,남,교수(E-1),"30"
동작구,남,선원취업(E-10),"0"
동작구,남,회화(E-2),"28"
동작구,남,연구(E-3),"21"
동작구,남,기술지도(E-4),"0"
동작구,남,전문직업(E-5),"1"
동작구,남,예술흥행(E-6),"15"
동작구,남,특정활동(E-7),"111"
동작구,남,비전문취업(E-9),"37"
동작구,남,방문동거(F-1),"370"
동작구,남,거주(F-2),"251"
동작구,남,동반(F-3),"28"
동작구,남,영주(F-5),"896"
동작구,남,결혼이민(F-6),"208"
동작구,남,기타(G-1),"54"
동작구,남,관광취업(H-1),"4"
동작구,남,방문취업(H-2),"1970"
동작구,남,기타,"27"
동작구,여,문화예술(D-1),"0"
동작구,여,구직(D-10),"86"
동작구,여,유학(D-2),"1877"
동작구,여,기술연수(D-3),"0"
동작구,여,일반연수(D-4),"629"
동작구,여,취재(D-5),"0"
동작구,여,종교(D-6),"2"
동작구,여,주재(D-7),"0"
동작구,여,기업투자(D-8),"8"
동작구,여,무역경영(D-9),"0"
동작구,여,교수(E-1),"7"
동작구,여,선원취업(E-10),"0"
동작구,여,회화(E-2),"28"
동작구,여,연구(E-3),"3"
동작구,여,기술지도(E-4),"0"
동작구,여,전문직업(E-5),"0"
동작구,여,예술흥행(E-6),"2"
동작구,여,특정활동(E-7),"62"
동작구,여,비전문취업(E-9),"10"
동작구,여,방문동거(F-1),"411"
동작구,여,거주(F-2),"277"
동작구,여,동반(F-3),"64"
동작구,여,영주(F-5),"1129"
동작구,여,결혼이민(F-6),"523"
동작구,여,기타(G-1),"31"
동작구,여,관광취업(H-1),"26"
동작구,여,방문취업(H-2),"1513"
동작구,여,기타,"16"
